City,Country,y800,y900,y1000,y1100,y1200,y1300,y1400,y1500,y1600
London,United Kingdom,,,15000,25000,40000,45000,50000,50000,187000
Lisbon,Portugal,15000,,15000,,15000,35000,55000,55000,100000
CÃ³rdoba,Spain,160000,200000,450000,60000,60000,40000,36000,30000,32000
Seville,Spain,35000,40000,90000,125000,150000,90000,60000,46000,126000
Granada,Spain,,,,60000,60000,90000,90000,70000,68000
Madrid,Spain,,,,,,,,,80000
Paris,France,25000,,20000,30000,110000,228000,280000,185000,245000
Amsterdam,Netherlands,,,,,,,,,48000
Rome,Italy,50000,40000,35000,35000,35000,30000,33000,38000,102000
Turin,Italy,,25000,30000,30000,35000,40000,40000,114000,224000
Milan,Italy,25000,20000,30000,42000,60000,60000,80000,89000,107000
Palermo,Italy,,35000,75000,90000,150000,35000,25000,39000,105000
Venice,Italy,,35000,45000,55000,70000,110000,110000,115000,151000
Copenhagen,Denmark,,,15000,,22000,30000,55000,80000,110000
Prague,Czech Republic,,,,,,25000,35000,35000,33000
Constantinople/,Turkey,250000,300000,300000,200000,150000,100000,75000,200000,700000
Moscow,Russia,,,,,,,30000,80000,80000
